Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,0.000,0.000,0.000,
0.010,0.000,0.000,0.000,
0.020,0.000,5.000,1.000,
0.030,0.000,5.000,1.000,
0.040,5.000,5.000,1.000,
0.050,5.000,0.000,1.000,
0.060,5.000,0.000,1.000,
0.070,5.000,0.000,1.000,
0.080,0.000,0.000,5.000,
0.090,0.000,0.000,5.000,
0.100,0.000,0.000,0.000,
0.110,0.000,1.000,0.000,
0.120,0.000,0.000,5.000,
0.130,0.000,0.000,5.000,
0.140,1.000,0.000,5.000,
0.150,1.000,0.000,5.000,
0.160,1.000,5.000,5.000,
0.170,5.000,1.000,0.000,
0.180,5.000,1.000,0.000,
0.190,1.000,0.000,0.000,
0.200,1.000,5.000,0.000,
0.210,0.000,5.000,5.000,
0.220,0.000,0.000,1.000,
0.230,1.000,0.000,0.000,
0.240,0.000,0.000,0.000,
0.250,0.000,0.000,0.000,
0.260,0.000,5.000,0.000,
0.270,0.000,5.000,0.000,
0.280,5.000,1.000,0.000,
0.290,0.000,0.000,0.000,
0.300,0.000,0.000,0.000,
0.310,0.000,0.000,1.000,
0.320,0.000,0.000,0.000,
0.330,0.000,0.000,0.000,
0.340,5.000,0.000,1.000,
0.350,1.000,5.000,1.000,
0.360,1.000,0.000,1.000,
0.370,1.000,5.000,5.000,
0.380,0.000,0.000,5.000,
0.390,0.000,0.000,0.000,
0.400,0.000,0.000,1.000,
0.410,0.000,1.000,0.000,
0.420,5.000,1.000,0.000,
0.430,0.000,1.000,5.000,
0.440,1.000,5.000,0.000,
0.450,0.000,0.000,0.000,
0.460,0.000,0.000,1.000,
0.470,0.000,0.000,1.000,
0.480,1.000,0.000,1.000,
0.490,1.000,1.000,0.000,
0.500,1.000,5.000,1.000,
0.510,0.000,0.000,0.000,
0.520,0.000,5.000,0.000,
0.530,5.000,1.000,0.000,
0.540,1.000,1.000,1.000,
0.550,1.000,0.000,1.000,
0.560,1.000,0.000,5.000,
0.570,0.000,5.000,1.000,
0.580,0.000,5.000,1.000,
0.590,0.000,5.000,5.000,
0.600,5.000,5.000,0.000,
0.610,0.000,5.000,5.000,
0.620,1.000,1.000,5.000,
0.630,1.000,0.000,0.000,
0.640,1.000,1.000,0.000,
0.650,0.000,1.000,5.000,
0.660,0.000,1.000,5.000,
0.670,0.000,1.000,1.000,
0.680,0.000,0.000,0.000,
0.690,1.000,0.000,1.000,
0.700,0.000,0.000,1.000,
0.710,0.000,0.000,0.000,
0.720,0.000,0.000,0.000,
0.730,0.000,0.000,0.000,
0.740,5.000,1.000,0.000,
0.750,1.000,0.000,0.000,
0.760,1.000,1.000,0.000,
0.770,1.000,5.000,0.000,
0.780,1.000,0.000,0.000,
0.790,0.000,0.000,0.000,
0.800,5.000,5.000,5.000,
0.810,0.000,1.000,0.000,
0.820,0.000,1.000,5.000,
0.830,1.000,0.000,0.000,
0.840,0.000,5.000,5.000,
0.850,1.000,0.000,1.000,
0.860,0.000,5.000,5.000,
0.870,5.000,5.000,5.000,
0.880,0.000,1.000,0.000,
0.890,5.000,0.000,1.000,
0.900,1.000,1.000,5.000,
0.910,0.000,5.000,5.000,
0.920,5.000,1.000,1.000,
0.930,1.000,5.000,1.000,
0.940,1.000,1.000,1.000,
0.950,5.000,1.000,1.000,
0.960,1.000,5.000,5.000,
0.970,5.000,1.000,1.000,
0.980,5.000,1.000,1.000,
0.990,5.000,5.000,1.000,
1.000,1.000,1.000,1.000,
1.010,1.000,1.000,1.000,
1.020,1.000,1.000,1.000,
1.030,1.000,1.000,1.000,
1.040,1.000,1.000,1.000,
1.050,1.000,1.000,1.000,
1.060,1.000,1.000,1.000,
1.070,1.000,1.000,1.000,
1.080,1.000,1.000,1.000,
1.090,1.000,1.000,1.000,
1.100,1.000,1.000,1.000,
1.110,1.000,1.000,1.000,
1.120,1.000,1.000,1.000,
1.130,1.000,1.000,1.000,
1.140,1.000,1.000,1.000,
1.150,1.000,1.000,1.000,
1.160,1.000,1.000,1.000,
1.170,1.000,1.000,1.000,
1.180,1.000,1.000,1.000,
1.190,1.000,1.000,1.000,
1.200,1.000,1.000,1.000,
1.210,1.000,1.000,1.000,
1.220,1.000,1.000,1.000,
1.230,1.000,1.000,1.000,
1.240,1.000,1.000,1.000,
1.250,1.000,1.000,1.000,
1.260,1.000,1.000,1.000,
1.270,1.000,1.000,1.000,
1.280,1.000,1.000,1.000,
1.290,1.000,1.000,1.000,
1.300,1.000,1.000,1.000,
1.310,1.000,1.000,1.000,
1.320,1.000,1.000,1.000,
1.330,1.000,1.000,1.000,
1.340,1.000,1.000,1.000,
1.350,1.000,1.000,1.000,
1.360,1.000,1.000,1.000,
1.370,1.000,1.000,1.000,
1.380,1.000,1.000,1.000,
1.390,1.000,1.000,1.000,
1.400,1.000,1.000,1.000,
1.410,1.000,1.000,1.000,
1.420,1.000,1.000,1.000,
1.430,1.000,1.000,1.000,
1.440,1.000,1.000,1.000,
1.450,1.000,1.000,1.000,
1.460,1.000,1.000,1.000,
1.470,1.000,1.000,2.000,
1.480,1.000,1.000,2.000,
1.490,1.000,1.000,2.000,
1.500,1.000,1.000,2.000,
1.510,1.000,2.000,2.000,
1.520,1.000,2.000,2.000,
1.530,1.000,2.000,2.000,
1.540,1.000,2.000,2.000,
1.550,2.000,2.000,2.000,
