Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
0.000,0.000,5.000,5.000,
0.010,0.000,5.000,5.000,
0.020,1.000,0.000,1.000,
0.030,1.000,0.000,0.000,
0.040,5.000,0.000,1.000,
0.050,1.000,1.000,0.000,
0.060,0.000,0.000,0.000,
0.070,1.000,0.000,0.000,
0.080,0.000,0.000,1.000,
0.090,0.000,0.000,0.000,
0.100,0.000,0.000,0.000,
0.110,1.000,0.000,1.000,
0.120,0.000,5.000,0.000,
0.130,0.000,0.000,0.000,
0.140,1.000,0.000,0.000,
0.150,0.000,0.000,0.000,
0.160,1.000,5.000,0.000,
0.170,1.000,5.000,5.000,
0.180,0.000,1.000,1.000,
0.190,0.000,1.000,5.000,
0.200,0.000,0.000,0.000,
0.210,5.000,0.000,0.000,
0.220,0.000,0.000,1.000,
0.230,0.000,0.000,5.000,
0.240,0.000,1.000,0.000,
0.250,1.000,1.000,1.000,
0.260,1.000,5.000,1.000,
0.270,0.000,5.000,1.000,
0.280,1.000,5.000,5.000,
0.290,5.000,5.000,5.000,
0.300,5.000,5.000,5.000,
0.310,5.000,1.000,5.000,
0.320,1.000,1.000,5.000,
0.330,1.000,1.000,5.000,
0.340,1.000,1.000,5.000,
0.350,1.000,1.000,1.000,
0.360,1.000,1.000,1.000,
0.370,1.000,1.000,1.000,
0.380,1.000,1.000,1.000,
0.390,1.000,1.000,1.000,
0.400,1.000,1.000,1.000,
0.410,1.000,1.000,1.000,
0.420,1.000,1.000,1.000,
0.430,1.000,1.000,1.000,
0.440,1.000,1.000,1.000,
0.450,1.000,1.000,1.000,
0.460,1.000,4.000,1.000,
0.470,1.000,4.000,6.000,
0.480,1.000,6.000,6.000,
0.490,1.000,6.000,6.000,
0.500,1.000,6.000,6.000,
0.510,1.000,6.000,6.000,
0.520,1.000,6.000,6.000,
0.530,1.000,6.000,6.000,
0.540,1.000,6.000,6.000,
0.550,1.000,6.000,6.000,
0.560,1.000,6.000,6.000,
0.570,6.000,6.000,6.000,
0.580,6.000,6.000,6.000,
0.590,6.000,6.000,6.000,
0.600,6.000,6.000,6.000,
0.610,6.000,6.000,6.000,
0.620,6.000,6.000,6.000,
0.630,6.000,6.000,6.000,
0.640,6.000,6.000,6.000,
0.650,6.000,6.000,6.000,
0.660,6.000,6.000,6.000,
0.670,6.000,6.000,6.000,
0.680,6.000,6.000,6.000,
0.690,6.000,6.000,6.000,
0.700,6.000,6.000,6.000,
0.710,6.000,6.000,6.000,
0.720,6.000,6.000,6.000,
0.730,6.000,6.000,6.000,
0.740,6.000,6.000,6.000,
0.750,6.000,6.000,6.000,
0.760,6.000,6.000,6.000,
0.770,6.000,6.000,6.000,
0.780,6.000,6.000,6.000,
0.790,6.000,6.000,6.000,
0.800,6.000,6.000,6.000,
0.810,6.000,6.000,6.000,
0.820,6.000,6.000,6.000,
0.830,6.000,6.000,6.000,
0.840,6.000,6.000,6.000,
0.850,6.000,6.000,6.000,
0.860,6.000,6.000,6.000,
0.870,6.000,6.000,6.000,
0.880,6.000,6.000,6.000,
0.890,6.000,6.000,6.000,
0.900,6.000,6.000,6.000,
0.910,6.000,6.000,6.000,
0.920,6.000,6.000,6.000,
0.930,6.000,6.000,6.000,
0.940,6.000,6.000,6.000,
0.950,6.000,6.000,6.000,
0.960,6.000,6.000,6.000,
0.970,6.000,6.000,6.000,
0.980,6.000,6.000,6.000,
0.990,6.000,6.000,6.000,
1.000,6.000,6.000,6.000,
1.010,6.000,6.000,6.000,
1.020,6.000,4.000,6.000,
1.030,6.000,4.000,4.000,
1.040,6.000,4.000,4.000,
1.050,6.000,4.000,4.000,
1.060,6.000,4.000,4.000,
1.070,6.000,4.000,4.000,
1.080,6.000,4.000,4.000,
1.090,6.000,4.000,4.000,
1.100,6.000,4.000,4.000,
1.110,6.000,4.000,4.000,
1.120,3.000,4.000,4.000,
1.130,3.000,4.000,4.000,
1.140,3.000,3.000,4.000,
1.150,3.000,3.000,4.000,
1.160,3.000,3.000,4.000,
1.170,3.000,3.000,4.000,
1.180,3.000,3.000,4.000,
1.190,3.000,3.000,4.000,
1.200,3.000,3.000,4.000,
1.210,3.000,3.000,4.000,
1.220,3.000,3.000,4.000,
1.230,3.000,3.000,3.000,
1.240,3.000,3.000,3.000,
1.250,3.000,3.000,3.000,
1.260,3.000,3.000,3.000,
1.270,3.000,3.000,3.000,
1.280,3.000,3.000,3.000,
1.290,3.000,3.000,3.000,
1.300,3.000,3.000,3.000,
1.310,3.000,2.000,3.000,
1.320,3.000,2.000,3.000,
1.330,3.000,2.000,3.000,
1.340,3.000,2.000,3.000,
1.350,3.000,2.000,3.000,
1.360,3.000,2.000,3.000,
1.370,3.000,2.000,3.000,
1.380,3.000,2.000,2.000,
1.390,3.000,2.000,2.000,
1.400,2.000,2.000,2.000,
1.410,2.000,2.000,2.000,
1.420,2.000,2.000,2.000,
1.430,2.000,2.000,2.000,
1.440,2.000,2.000,2.000,
1.450,2.000,2.000,2.000,
1.460,2.000,2.000,2.000,
1.470,2.000,2.000,2.000,
1.480,2.000,2.000,3.000,
1.490,2.000,2.000,3.000,
1.500,2.000,2.000,3.000,
1.510,2.000,2.000,3.000,
1.520,2.000,2.000,3.000,
1.530,2.000,2.000,3.000,
1.540,2.000,2.000,3.000,
1.550,2.000,2.000,3.000,
1.560,2.000,2.000,3.000,
1.570,2.000,3.000,3.000,
1.580,2.000,7.000,3.000,
1.590,2.000,7.000,3.000,
1.600,7.000,7.000,3.000,
1.610,7.000,7.000,3.000,
1.620,7.000,7.000,3.000,
1.630,4.000,7.000,3.000,
1.640,4.000,5.000,3.000,
1.650,5.000,5.000,3.000,
1.660,5.000,5.000,3.000,
1.670,5.000,5.000,3.000,
1.680,5.000,5.000,3.000,
1.690,5.000,5.000,3.000,
1.700,5.000,5.000,3.000,
